"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/App.jsx", "JavaScript JSX", 4, 0, 0, -1, 3
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/ActiveUserNav.css", "CSS", 0, 45, -1, 8, 52
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/ActiveUserNav.jsx", "JavaScript JSX", -4, 0, -5, -1, -10
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/ArticleAdd.css", "CSS", 0, 60, 10, 11, 81
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/ArticleAdd.jsx", "JavaScript JSX", 80, 0, 4, 6, 90
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/BirthPlan.css", "CSS", 0, 0, 0, -1, -1
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/BirthPlan.jsx", "JavaScript JSX", -107, 0, -11, -10, -128
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/CreateBoardModal.jsx", "JavaScript JSX", 0, 0, 1, 0, 1
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Footer.css", "CSS", 0, 84, 2, 15, 101
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Footer.jsx", "JavaScript JSX", 14, 0, -1, 0, 13
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/LoginModal.css", "CSS", 0, 4, -5, 2, 1
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/LoginModal.jsx", "JavaScript JSX", 5, 0, 2, 0, 7
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/NavBar.css", "CSS", 0, 60, -10, 11, 61
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/NotepadModal.css", "CSS", 0, -70, -2, -11, -83
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/NotepadModal.jsx", "JavaScript JSX", -29, 0, -2, -3, -34
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/OAuthCallBack.jsx", "JavaScript JSX", 18, 0, 3, 8, 29
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Sanctuary.css", "CSS", 0, 35, -12, 6, 29
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/Sanctuary.jsx", "JavaScript JSX", 36, 0, -1, 7, 42
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SignUpModal.css", "CSS", 0, 0, -4, 0, -4
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SignUpModal.jsx", "JavaScript JSX", 2, 0, -2, 0, 0
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SingleBoardDetail.css", "CSS", 0, 14, 0, 4, 18
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/SingleBoardDetail.jsx", "JavaScript JSX", 71, 0, 5, 13, 89
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/UserDetails.css", "CSS", 0, 0, -6, 0, -6
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/components/UserDetails.jsx", "JavaScript JSX", 0, 0, -3, 0, -3
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/BirthPreparation.css", "CSS", 0, -116, -2, -23, -141
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/BirthPreparation.jsx", "JavaScript JSX", -200, 0, -16, -15, -231
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/Homepage.css", "CSS", 0, 45, -9, 12, 48
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/Homepage.jsx", "JavaScript JSX", 0, 0, -5, 0, -5
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/PersonalVisionBoard.css", "CSS", 0, 6, -7, 1, 0
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/PersonalVisionBoard.jsx", "JavaScript JSX", 12, 0, -6, -3, 3
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoardDetail.css", "CSS", 0, 72, -10, 13, 75
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoardDetail.jsx", "JavaScript JSX", 3, 0, -8, 1, -4
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoards.css", "CSS", 0, 31, -3, 3, 31
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoards.jsx", "JavaScript JSX", -1, 0, -1, 0, -2
"Total", "-", -96, 270, -105, 53, 122
